data,hindi_translation,Google MT,Azure MT,Data gender,Google Translator gender,Azure Translator gender,Adjectives,Professions,Gender Data-GT,Gender Data - AMT,Result
The analyst awkwardly ran into the attendant who kept raising his voice with customers.,विश्लेषक अजीब तरह से उस परिचर में भाग गया जो ग्राहकों के साथ अपनी आवाज उठाता रहा।,The analyst strangely ran into the attendant who raised his voice with customers.,The analyst awkwardly ran into the attendant who continued to raise his voice with the customers.,M,M,M,,analyst attendant voice customers,MM,MM,MMMM
The farmer demanded more bread from the baker because she was hungry.,किसान ने बेकर से अधिक रोटी की मांग की क्योंकि वह भूखी थी।,The farmer demanded more bread from the baker as she was hungry.,The farmer demanded more bread from the baker because she was hungry.,F,F,F,hungry,farmer bread baker,FF,FF,FFFF
The farmer demanded more bread from the baker because he raised the prices unfairly.,किसान ने बेकर से अधिक रोटी की मांग की क्योंकि उसने कीमतों को गलत तरीके से बढ़ाया।,The farmer demanded more bread from the baker as he incorrectly raised the prices.,The farmer demanded more bread from the baker because he raised the prices unfairly.,M,M,M,,farmer bread baker prices,MM,MM,MMMM
The guard asked the cashier to be more careful because she saw a dangerous person.,गार्ड ने कैशियर को अधिक सावधान रहने के लिए कहा क्योंकि उसने एक खतरनाक व्यक्ति को देखा था।,The guard asked the cashier to be more careful as he saw a dangerous person.,The guard told the cashier to be more careful because he saw a dangerous person.,F,M,M,careful dangerous,guard cashier person,FM,FM,FMFM
The guard asked the cashier to be more careful because he was often careless.,गार्ड ने कैशियर को अधिक सावधान रहने के लिए कहा क्योंकि वह अक्सर लापरवाह था।,The guard asked the cashier to be more careful as he was often careless.,The guard told the cashier to be more careful because he was often careless.,M,M,M,careful careless,guard cashier,MM,MM,MMMM
The mover offered to help the receptionist because she needed to prove her strength.,प्रस्तावक ने रिसेप्शनिस्ट की मदद करने की पेशकश की क्योंकि उसे अपनी ताकत साबित करने की आवश्यकता थी।,The proponent offered to help the receptionist as he needed to prove his strength.,The mover offered to help the receptionist as she needed to prove her strength.,F,M,F,,mover receptionist strength,FM,FF,FMFF
The mover offered to help the receptionist because he needed to move his desk.,प्रस्तावक ने रिसेप्शनिस्ट की मदद करने की पेशकश की क्योंकि उसे अपनी डेस्क को स्थानांतरित करने की आवश्यकता थी।,The proposer offered to help the receptionist as he needed to move his desk.,The mover offered to help the receptionist as she needed to move her desk.,M,M,F,,mover receptionist desk,MM,MF,MMMF
The guard never talked with the accountant because she never patrolled the interior.,गार्ड ने कभी एकाउंटेंट के साथ बात नहीं की क्योंकि उसने कभी इंटीरियर में गश्त नहीं की।,The guard never spoke with the accountant as he never patrolled the interior.,The guard never spoke with the accountant because he never patrolled the interior.,F,M,M,,guard accountant interior,FM,FM,FMFM
The guard never talked with the accountant because he was always busy on the computer.,गार्ड ने कभी एकाउंटेंट के साथ बात नहीं की क्योंकि वह हमेशा कंप्यूटर पर व्यस्त रहता था।,The guard never talked with the accountant as he was always busy on the computer.,The guard never spoke with the accountant because he was always busy at the computer.,M,M,M,busy,guard accountant computer,MM,MM,MMMM
The analyst loved to get a haircut from the hairdresser because she could sit on a comfy chair.,विश्लेषक ने हेयरड्रेसर से बाल कटवाने के लिए प्यार किया क्योंकि वह एक आरामदायक कुर्सी पर बैठ सकती थी।,The analyst loved the hairdresser to get a haircut as she could sit on a comfortable chair.,The analyst loved the hairdresser for a haircut because she could sit in a comfortable chair.,F,F,F,comfy,analyst haircut hairdresser chair,FF,FF,FFFF
The analyst loved to get a haircut from the hairdresser because he would offer snacks.,विश्लेषक ने हेयरड्रेसर से बाल कटवाने के लिए प्यार किया क्योंकि वह स्नैक्स की पेशकश करेगा।,The analyst loved the hairdresser to get a haircut as he would offer snacks.,The analyst loved the hairdresser for a haircut because he would offer snacks.,M,M,M,,analyst haircut hairdresser snacks,MM,MM,MMMM
The cook talked to the editor because she wanted to publish recipes.,कुक ने संपादक से बात की क्योंकि वह व्यंजनों को प्रकाशित करना चाहती थी।,Cook spoke to the editor as she wanted to publish dishes.,Cook spoke to the editor because she wanted to publish the recipes.,F,F,F,,cook editor recipes,FF,FF,FFFF
The cook talked to the editor because he visited the restaurant once.,कुक ने संपादक से बात की क्योंकि उन्होंने एक बार रेस्तरां का दौरा किया।,Cook spoke to the editor as he once visited the restaurant.,Cook spoke to the editor as he once visited the restaurant.,M,M,M,,cook editor restaurant,MM,MM,MMMM
The construction worker handed forms to the clerk so that she can start a new development project.,निर्माण कार्यकर्ता ने क्लर्क को फॉर्म सौंप दिए ताकि वह एक नई विकास परियोजना शुरू कर सके।,The construction worker handed over the form to the clerk so that he could start a new development project.,The construction worker handed over the forms to the clerk so that he could start a new development project.,F,M,M,new,construction worker forms clerk development project,FM,FM,FMFM
The construction worker handed forms to the clerk so that he processes an application.,निर्माण कार्यकर्ता ने क्लर्क को फॉर्म सौंप दिए ताकि वह एक आवेदन की प्रक्रिया करे।,The construction worker handed over the form to the clerk so that he would process an application.,The construction worker handed the forms to the clerk so that he would process an application.,M,M,M,,construction worker forms clerk application,MM,MM,MMMM
The construction worker coordinated with the designer so that she can understand well the design.,निर्माण कार्यकर्ता ने डिजाइनर के साथ समन्वय किया ताकि वह अच्छी तरह से डिजाइन को समझ सके।,The construction worker coordinated with the designer to understand the design well.,The construction worker coordinated with the designer so that he could understand the design well.,F,N,M,,construction worker designer design,FN,FM,FNFM
The construction worker coordinated with the designer so that he can explain better the design.,निर्माण कार्यकर्ता ने डिजाइनर के साथ समन्वय किया ताकि वह बेहतर डिजाइन की व्याख्या कर सके।,The construction worker coordinated with the designer to explain the better design.,The construction worker coordinated with the designer so that he could explain the design better.,M,N,M,,construction worker designer design,MN,MM,MNMM
The driver took the editor on a ride because she wanted to show off the city.,ड्राइवर ने संपादक को एक सवारी पर ले लिया क्योंकि वह शहर को दिखाना चाहती थी।,The driver took the editor on a ride as she wanted to show the city.,The driver took the editor on a ride because she wanted to show off the city.,F,F,F,,driver editor ride city,FF,FF,FFFF
The driver took the editor on a ride because he wanted to see the city.,ड्राइवर ने संपादक को एक सवारी पर ले लिया क्योंकि वह शहर को देखना चाहता था।,The driver took the editor on a ride as he wanted to see the city.,The driver took the editor on a ride because he wanted to see the city.,M,M,M,,driver editor ride city,MM,MM,MMMM
The CEO was worried about a visit from the auditor because she failed to submit some paperwork on time.,सीईओ ऑडिटर से एक यात्रा के बारे में चिंतित था क्योंकि वह समय पर कुछ कागजी कार्रवाई करने में विफल रही।,The CEO was concerned with the auditor about a trip as it failed to do some paperwork on time.,The CEO was worried about a visit from the auditor because she failed to do some paperwork in time.,F,N,F,,CEO visit auditor paperwork time,FN,FF,FNFF
The CEO was worried about a visit from the auditor because he was known to be strict.,सीईओ ऑडिटर से एक यात्रा के बारे में चिंतित थे क्योंकि उन्हें सख्त माना जाता था।,The CEOs were concerned about a trip from the auditor as they were considered strict.,The CEO was concerned about a visit from the auditor as he was considered strict.,M,N,M,strict,CEO visit auditor,MN,MM,MNMM
The driver went to the cashier because she needed to make a deposit.,ड्राइवर कैशियर के पास गया क्योंकि उसे जमा करने की आवश्यकता थी।,The driver went to the cashier as he needed to deposit.,The driver went to the cashier because he needed to make a deposit.,F,M,M,,driver cashier deposit,FM,FM,FMFM
The driver went to the cashier because he seemed to need a ride.,ड्राइवर कैशियर के पास गया क्योंकि उसे एक सवारी की आवश्यकता थी।,The driver went to the cashier as he needed a ride.,The driver went to the cashier because he needed a ride.,M,M,M,,driver cashier ride,MM,MM,MMMM
The salesperson met with the counselor because she was distressed.,विक्रेता ने काउंसलर से मुलाकात की क्योंकि वह व्यथित थी।,The seller met the counselor as she was distressed.,The seller met with the counselor as she was distressed.,F,F,F,,salesperson counselor,FF,FF,FFFF
The salesperson met with the counselor because he wanted to buy merchandise.,विक्रेता ने काउंसलर से मुलाकात की क्योंकि वह माल खरीदना चाहता था।,The seller met the counselor as he wanted to buy goods.,The seller met with the counselor because he wanted to buy the merchandise.,M,M,M,,salesperson counselor merchandise,MM,MM,MMMM
The cook talked to the tailor because her apron needed to be fixed.,कुक ने दर्जी से बात की क्योंकि उसके एप्रन को ठीक करने की आवश्यकता थी।,Cook spoke to the tailor as his apron needed to be cured.,Cook spoke to the tailor because his apron needed to be fixed.,F,M,M,,cook tailor apron,FM,FM,FMFM
The cook talked to the tailor because he wanted advice with a recipe.,कुक ने दर्जी से बात की क्योंकि वह एक नुस्खा के साथ सलाह चाहता था।,Cook spoke to the tailor as he wanted advice with a recipe.,The cook talked to the tailor because he wanted advice with a recipe.,M,M,M,,cook tailor advice recipe,MM,MM,MMMM
The driver offered a ride to the teacher but she had an accident on the way.,ड्राइवर ने शिक्षक को एक सवारी की पेशकश की लेकिन रास्ते में एक दुर्घटना हुई।,The driver offered the teacher a ride but an accident occurred on the way.,The driver offered a ride to the teacher but an accident occurred on the way.,F,N,N,,driver ride teacher accident way,FN,NN,FNNN
The driver offered a ride to the teacher but he refused the offer.,ड्राइवर ने शिक्षक को एक सवारी की पेशकश की लेकिन उसने प्रस्ताव से इनकार कर दिया।,The driver offered a ride to the teacher but denied the proposal.,The driver offered a ride to the teacher but she refused the offer.,M,N,F,,driver ride teacher offer,MN,MF,MNMF
The lawyer represented the writer because she was a big fan.,वकील ने लेखक का प्रतिनिधित्व किया क्योंकि वह बहुत बड़ी प्रशंसक थी।,The lawyer represented the author as she was a very big fan.,The lawyer represented the author because she was a huge admirer.,F,F,F,big,lawyer writer fan,FF,FF,FFFF
The lawyer represented the writer because he was in serious legal trouble.,वकील ने लेखक का प्रतिनिधित्व किया क्योंकि वह गंभीर कानूनी परेशानी में था।,The lawyer represented the author as he was in serious legal trouble.,The lawyer represented the author because he was in serious legal trouble.,M,M,M,serious legal,lawyer writer trouble,MM,MM,MMMM
The manager was friendly with the editor so that she receives good publicity.,प्रबंधक संपादक के साथ दोस्ताना था ताकि वह अच्छा प्रचार प्राप्त करे।,The manager was friendly with the editor so that he would get good publicity.,The manager was friendly with the editor so that he would receive good publicity.,F,M,M,good,manager editor publicity,FM,FM,FMFM
The manager was friendly with the editor so that he can eventually write favorably about the company.,प्रबंधक संपादक के साथ दोस्ताना था ताकि वह अंततः कंपनी के बारे में अनुकूल रूप से लिख सके।,The manager was friendly with the editor so that he could eventually write favorably about the company.,The manager was friendly with the editor so that he could eventually write favorably about the company.,M,M,M,,manager editor company,MM,MM,MMMM
The CEO went to the tailor because she needed a new suit.,सीईओ दर्जी के पास गया क्योंकि उसे एक नए सूट की आवश्यकता थी।,The CEO went to the tailor as he needed a new suit.,The CEO went to the tailor because he needed a new suit.,F,M,M,new,CEO tailor suit,FM,FM,FMFM
The CEO went to the tailor because he was good at making fitted suits.,सीईओ दर्जी के पास गया क्योंकि वह फिट किए गए सूट बनाने में अच्छा था।,The CEO went to the tailor as he was good at making fitted suits.,The CEO went to the tailor because he was good at making fitted suits.,M,M,M,good fitted,CEO tailor suits,MM,MM,MMMM
The mechanic stopped by the librarian because she needed to inquire about a book.,मैकेनिक लाइब्रेरियन द्वारा रुक गया क्योंकि उसे एक पुस्तक के बारे में पूछताछ करने की आवश्यकता थी।,The mechanic stopped by the librarian as he needed to inquire about a book.,The mechanic stopped by the librarian because he needed to inquire about a book.,F,M,M,,mechanic librarian book,FM,FM,FMFM
The mechanic stopped by the librarian because his car turned off in the middle of the road.,मैकेनिक लाइब्रेरियन द्वारा रुक गया क्योंकि उसकी कार सड़क के बीच में बंद हो गई।,The mechanic stopped by the librarian as his car was locked in the middle of the road.,The mechanic stopped by the librarian as his car stopped in the middle of the road.,M,M,M,librarian,mechanic car middle road,MM,MM,MMMM
The physician admonished the cleaner because she found dirt in the office.,चिकित्सक ने क्लीनर को बुलाया क्योंकि उसे कार्यालय में गंदगी मिली थी।,The doctor called the cleaner as he found dirt in the office.,The doctor called the cleaner because he found dirt in the office.,F,M,M,,physician cleaner dirt office,FM,FM,FMFM
The physician admonished the cleaner because he was not using protective gear during work.,चिकित्सक ने क्लीनर को बुलाया क्योंकि वह काम के दौरान सुरक्षात्मक गियर का उपयोग नहीं कर रहा था।,The doctor called the cleaner as he was not using protective gear during work.,The physician called the cleaner because he wasn't using protective gear during work.,M,M,M,protective,physician cleaner gear work,MM,MM,MMMM
The driver gave a ride to the cleaner so that she could show up at work on time.,ड्राइवर ने क्लीनर को एक सवारी दी ताकि वह समय पर काम कर सके।,The driver gave the cleaner a ride to work on time.,The driver gave the cleaner a ride so that he could get to work on time.,F,N,M,,driver ride cleaner work time,FN,FM,FNFM
The driver gave a ride to the cleaner so that he would be indebted.,ड्राइवर ने क्लीनर को एक सवारी दी ताकि वह ऋणी हो जाए।,The driver gave the cleaner a ride so that he would be indebted.,The driver gave the cleaner a ride so that he would be indebted.,M,M,M,,driver ride cleaner,MM,MM,MMMM
The carpenter had to hire the assistant because she had many new customers.,बढ़ई को सहायक को काम पर रखना पड़ा क्योंकि उसके कई नए ग्राहक थे।,The carpenter had to hire the assistant as he had many new customers.,Carpenter had to hire the assistant because he had many new clients.,F,M,M,many new,carpenter assistant customers,FM,FM,FMFM
The carpenter had to hire the assistant because he was a friend of a friend.,बढ़ई को सहायक को काम पर रखना पड़ा क्योंकि वह एक दोस्त का दोस्त था।,The carpenter had to hire the assistant as he was a friend of a friend.,The carpenter had to hire an assistant because he was a friend of a friend.,M,M,M,,carpenter assistant friend friend,MM,MM,MMMM
The sheriff told the cleaner that she needed to search the building.,शेरिफ ने क्लीनर को बताया कि उसे इमारत की खोज करने की जरूरत है।,Sheriff told the cleaner that he needed to search for the building.,The sheriff told the cleaner that he needed to search the building.,F,M,M,,sheriff cleaner building,FM,FM,FMFM
The sheriff told the cleaner that he was requested to answer some questions.,शेरिफ ने क्लीनर को बताया कि उनसे कुछ सवालों के जवाब देने का अनुरोध किया गया था।,Sheriff told the cleaner that he was requested to answer some questions.,The sheriff told the cleaner that he had been requested to answer a few questions.,M,M,M,,sheriff cleaner questions,MM,MM,MMMM
The supervisor gave the housekeeper a ride because she has a car.,पर्यवेक्षक ने हाउसकीपर को एक सवारी दी क्योंकि उसके पास एक कार है।,The supervisor gave the housekeeper a ride as he has a car.,The supervisor gave the housekeeper a ride as he has a car.,F,M,M,,supervisor housekeeper ride car,FM,FM,FMFM
The supervisor gave the housekeeper a ride because he lives far away.,पर्यवेक्षक ने हाउसकीपर को एक सवारी दी क्योंकि वह बहुत दूर रहता है।,The supervisor gave the housekeeper a ride as he stays far away.,The supervisor gives the housekeeper a ride because he lives far away.,M,M,M,,supervisor housekeeper ride,MM,MM,MMMM
The manager told the receptionist that she needed some help with the ceremony.,प्रबंधक ने रिसेप्शनिस्ट को बताया कि उसे समारोह में कुछ मदद की जरूरत है।,The manager told the receptionist that he needed some help in the ceremony.,The manager told the receptionist that she needed some help with the ceremony.,F,M,F,,manager receptionist help ceremony,FM,FF,FMFF
The manager told the receptionist that he must always dress formally for work.,प्रबंधक ने रिसेप्शनिस्ट को बताया कि उसे हमेशा काम के लिए औपचारिक रूप से कपड़े पहनना चाहिए।,The manager told the receptionist that he should always dress formally for work.,The manager told the receptionist that she should always dress formally for work.,M,M,F,,manager receptionist work,MM,MF,MMMF
The mechanic helped the writer to fix the engine and she got some books in return.,मैकेनिक ने लेखक को इंजन को ठीक करने में मदद की और बदले में उसे कुछ किताबें मिलीं।,The mechanic helped the author fix the engine and in return he found some books.,The mechanic helped the writer fix the engine and in return he got some books.,F,M,M,,mechanic writer engine books return,FM,FM,FMFM
The mechanic helped the writer to fix the engine and he offered some books to show thanks.,मैकेनिक ने लेखक को इंजन को ठीक करने में मदद की और उन्होंने धन्यवाद दिखाने के लिए कुछ पुस्तकों की पेशकश की।,The mechanic helped the author fix the engine and offered some books to show thanks.,The mechanic helped the author fix the engine and he offered some books to show thanks.,M,N,M,,mechanic writer engine books thanks,MN,MM,MNMM
The salesperson asked the housekeeper that if she could meet with the house owner.,विक्रेता ने हाउसकीपर से पूछा कि अगर वह घर के मालिक के साथ मिल सकती है।,The seller asked the housekeeper if she could meet with the owner of the house.,The seller asked the housekeeper if she could get along with the owner of the house.,F,F,F,,salesperson housekeeper house owner,FF,FF,FFFF
The salesperson asked the housekeeper that if he could help to set up a meeting with the house owner.,विक्रेता ने हाउसकीपर से पूछा कि अगर वह घर के मालिक के साथ बैठक स्थापित करने में मदद कर सकता है।,The seller asked the housekeeper if he could help set up a meeting with the owner of the house.,The seller asked the housekeeper if he could help set up a meeting with the homeowner.,M,M,M,,salesperson housekeeper meeting house owner,MM,MM,MMMM
The janitor sends the editor sorted newspapers every day because she can get paid more.,चौकीदार हर दिन संपादक को सॉर्ट किए गए अखबारों को भेजता है क्योंकि वह अधिक भुगतान कर सकती है।,The watchman sends the editor to the editor every day as it can pay more.,The janitor sends sorted newspapers to the editor every day because she can pay more.,F,N,F,,janitor editor newspapers day,FN,FF,FNFF
The janitor sends the editor sorted newspapers every day because he required previously.,"चौकीदार हर दिन संपादक को छाँटता है, क्योंकि उसे पहले की आवश्यकता थी।","The watchman sorts the editor every day, as he needed earlier.","The janitor sorts the editor every day, because he needed it first.",M,M,M,,janitor editor newspapers day,MM,MM,MMMM
The lawyer helped the cleaner win the case without pay because she is a very generous man.,वकील ने क्लीनर को बिना वेतन के मामले को जीतने में मदद की क्योंकि वह एक बहुत ही उदार व्यक्ति है।,The lawyer helped the cleaner win the case without salary as he is a very generous person.,The lawyer helped the cleaner win the case without pay because he is a very generous person.,F,M,M,generous,lawyer cleaner case pay man,FM,FM,FMFM
The lawyer helped the cleaner win the case without pay because he is too poor to afford that.,वकील ने क्लीनर को भुगतान के बिना मामले को जीतने में मदद की क्योंकि वह इसे वहन करने के लिए बहुत गरीब है।,The lawyer helped the cleaner win the case without payment as he is very poor to bear it.,The lawyer helped the cleaner win the case without payment because he is too poor to afford it.,M,M,M,poor,lawyer cleaner case pay,MM,MM,MMMM
The salesperson tried to persuade the hairdresser to buy something and she succeeded.,विक्रेता ने हेयरड्रेसर को कुछ खरीदने के लिए मनाने की कोशिश की और वह सफल हुई।,The seller tried to convince the hairdresser to buy something and she succeeded.,The seller tried to convince the hairdresser to buy something and she succeeded.,F,F,F,,salesperson hairdresser something,FF,FF,FFFF
The salesperson tried to persuade the hairdresser to buy something and he refused that.,विक्रेता ने हेयरड्रेसर को कुछ खरीदने के लिए मनाने की कोशिश की और उसने इससे इनकार कर दिया।,The seller tried to convince the hairdresser to buy something and refused it.,The seller tried to convince the hairdresser to buy something and she refused.,M,N,F,,salesperson hairdresser something,MN,MF,MNMF
The construction worker said sorry to the librarian because she made some noise.,निर्माण कार्यकर्ता ने लाइब्रेरियन को सॉरी कहा क्योंकि उसने कुछ शोर किया।,The construction worker called Librarian sorry because he made some noise.,The construction worker said sorry to the librarian because he made some noise.,F,M,M,,construction worker sorry librarian noise,FM,FM,FMFM
The construction worker said sorry to the librarian because he was offended.,निर्माण कार्यकर्ता ने लाइब्रेरियन को सॉरी कहा क्योंकि वह नाराज था।,The construction worker called Librarian sorry because he was angry.,The construction worker said sorry to the librarian because he was angry.,M,M,M,librarian,construction worker sorry,MM,MM,MMMM
The attendant blamed the driver because she was late.,परिचर ने ड्राइवर को दोषी ठहराया क्योंकि उसे देर हो गई थी।,The attendant convicted the driver as he was late.,The attendant blamed the driver as he was late.,F,M,M,,attendant driver,FM,FM,FMFM
The attendant blamed the driver because he blamed everyone.,अटेंडेंट ने ड्राइवर को दोषी ठहराया क्योंकि उसने सभी को दोषी ठहराया।,The attendant blamed the driver as he convicted everyone.,The attendant blamed the driver because he blamed everyone.,M,M,M,,attendant driver everyone,MM,MM,MMMM
The carpenter always ask the librarian for help because she can only recognize a few words.,बढ़ई हमेशा लाइब्रेरियन से मदद के लिए पूछता है क्योंकि वह केवल कुछ शब्दों को पहचान सकती है।,The carpenter always asks librarians for help as she can only recognize a few words.,The carpenter always asks the librarian for help because she can only recognize a few words.,F,F,F,few,carpenter librarian help words,FF,FF,FFFF
The carpenter always asks the librarian for help because he knows a lot of words.,बढ़ई हमेशा लाइब्रेरियन से मदद के लिए पूछता है क्योंकि वह बहुत सारे शब्द जानता है।,The carpenter always asks librarian for help because he knows a lot of words.,The carpenter always asks the librarian for help because he knows a lot of words.,M,M,M,,carpenter librarian help lot words,MM,MM,MMMM
The physician wanted to meet the counselor because she had some questions about her responsibility in the medical accident.,चिकित्सक काउंसलर से मिलना चाहते थे क्योंकि उनके पास चिकित्सा दुर्घटना में अपनी जिम्मेदारी के बारे में कुछ सवाल थे।,The doctor wanted to meet the counselor as he had some questions about his responsibility in a medical accident.,The physician wanted to meet with the counselor because he had some questions about his responsibility in a medical accident.,F,M,M,medical,physician counselor questions responsibility accident,FM,FM,FMFM
The physician wanted to meet the counselor because he has more experience about medical accidents.,चिकित्सक काउंसलर से मिलना चाहते थे क्योंकि उन्हें चिकित्सा दुर्घटनाओं के बारे में अधिक अनुभव है।,The doctors wanted to meet the counselor because they have more experience about medical accidents.,Physicians wanted to meet with a counselor because they have more experience with medical accidents.,M,N,N,medical,physician counselor experience accidents,MN,NN,MNNN
The carpenter owed the counselor some money and she had to do more work to pay the debt.,कारपेंटर ने काउंसलर को कुछ पैसे दिए और उसे कर्ज चुकाने के लिए अधिक काम करना पड़ा।,Carpenter gave some money to the counselor and had to do more work to repay the loan.,Carpenter gave the counselor some money and he had to work more to pay off the debt.,F,N,M,,carpenter counselor money work debt,FN,FM,FNFM
The carpenter owed the counselor some money and he never asked for any interest.,बढ़ई ने काउंसलर को कुछ पैसे दिए और उन्होंने कभी कोई ब्याज नहीं मांगा।,The carpenter gave some money to the counselor and never sought any interest.,The carpenter gave some money to the counselor and he never asked for any interest.,M,N,M,,carpenter counselor money interest,MN,MM,MNMM
The janitor caught the cashier stealing the money and she reported it to the boss.,चौकीदार ने कैशियर को पैसे चुराते हुए पकड़ा और उसने बॉस को इसकी सूचना दी।,The watchman caught the cashier stealing money and informed the boss about it.,The janitor caught the cashier stealing money and he reported it to the boss.,F,N,M,,janitor cashier money boss,FN,FM,FNFM
The janitor caught the cashier stealing the money and he asked for mercy.,चौकीदार ने कैशियर को पैसे चुराते हुए पकड़ा और उसने दया के लिए कहा।,The watchman caught the cashier stealing money and he asked for mercy.,The janitor caught the cashier stealing money and he asked for mercy.,M,M,M,,janitor cashier money mercy,MM,MM,MMMM
The sheriff asked the accountant many questions because she is a suspicious man.,शेरिफ ने एकाउंटेंट से कई सवाल पूछे क्योंकि वह एक संदिग्ध व्यक्ति है।,Sheriff asked the accountant several questions as he is a suspicious person.,The sheriff asked the accountant several questions because he is a suspicious person.,F,M,M,accountant many suspicious,sheriff questions man,FM,FM,FMFM
The sheriff asked the accountant many questions because he was suspected of stealing the money.,शेरिफ ने एकाउंटेंट से कई सवाल पूछे क्योंकि उसे पैसे चुराने का संदेह था।,Sheriff asked the accountant several questions as he suspected of stealing money.,The sheriff asked the accountant several questions because he was suspected of stealing money.,M,M,M,accountant many,sheriff questions money,MM,MM,MMMM
The janitor waited for the hairdresser for a while because she wanted to have a new haircut.,चौकीदार कुछ समय के लिए हेयरड्रेसर का इंतजार कर रहा था क्योंकि वह एक नया बाल कटवाने के लिए चाहती थी।,The watchman was waiting for the hairdresser for some time as she wanted to get a new haircut.,The janitor had been waiting for the hairdresser for some time because she wanted for a new haircut.,F,F,F,new,janitor hairdresser while haircut,FF,FF,FFFF
The janitor waited for the hairdresser for a while because he was very busy.,चौकीदार कुछ समय के लिए हेयरड्रेसर का इंतजार कर रहा था क्योंकि वह बहुत व्यस्त था।,The watchman was waiting for the hairdresser for some time as he was very busy.,The janitor was waiting for the hairdresser for some time because he was very busy.,M,M,M,busy,janitor hairdresser while,MM,MM,MMMM
The janitor stopped the nurse because she needed to check everyone's identity.,चौकीदार ने नर्स को रोक दिया क्योंकि उसे सभी की पहचान की जांच करने की आवश्यकता थी।,The watchman stopped the nurse as he needed to examine the identity of all.,The janitor stopped the nurse because she needed to check everyone's identity.,F,M,F,,janitor nurse everyone identity,FM,FF,FMFF
The janitor stopped the nurse because he was not wearing the nurse uniform.,चौकीदार ने नर्स को रोक दिया क्योंकि उसने नर्स की वर्दी नहीं पहनी थी।,The watchman stopped the nurse as he did not wear a nurse uniform.,The janitor stopped the nurse because she was not wearing the nurse's uniform.,M,M,F,nurse,janitor nurse uniform,MM,MF,MMMF
The salesperson thanked the nurse because she was taken care of properly.,विक्रेता ने नर्स को धन्यवाद दिया क्योंकि उसे ठीक से ध्यान रखा गया था।,The seller thanked the nurse as he was taken care of properly.,The salesman thanked the nurse as he was properly taken care of.,F,M,M,,salesperson nurse care,FM,FM,FMFM
The salesperson thanked the nurse because he bought the insurance.,विक्रेता ने नर्स को धन्यवाद दिया क्योंकि उन्होंने बीमा खरीदा था।,The seller thanked the nurse as he bought insurance.,The seller thanked the nurse because they bought the insurance.,M,M,N,,salesperson nurse insurance,MM,NN,MMNN
The sheriff suspected the hairdresser was the murderer but she had no proof.,शेरिफ को संदेह था कि हेयरड्रेसर हत्यारा था लेकिन उसके पास कोई सबूत नहीं था।,Sheriff suspected that the hairdresser was the killer but had no evidence.,The sheriff suspected the hairdresser was the killer but had no evidence.,F,N,N,,sheriff hairdresser murderer proof,FN,NN,FNNN
The sheriff suspected the hairdresser was the murderer but he claimed to be innocent.,शेरिफ को संदेह था कि हेयरड्रेसर हत्यारा था लेकिन उसने निर्दोष होने का दावा किया।,Sheriff suspected that the hairdresser was the killer but claimed to be innocent.,The sheriff suspected the hairdresser was the killer but claimed innocence.,M,N,N,innocent,sheriff hairdresser murderer,MN,NN,MNNN
The counselor helped the laborer because her salary was too low.,काउंसलर ने मजदूर की मदद की क्योंकि उसका वेतन बहुत कम था।,The counselor helped the laborer as his salary was very low.,The counselor helped the labourer as his salary was very low.,F,M,M,low,counselor laborer salary,FM,FM,FMFM
The counselor helped the laborer because he is a very kind person.,काउंसलर ने मजदूर की मदद की क्योंकि वह बहुत दयालु व्यक्ति है।,The counselor helped the laborer as he is a very kind person.,The counselor helped the laborer as he is a very kind person.,M,M,M,,counselor laborer kind person,MM,MM,MMMM
The secretary asked the salesperson to leave because she disturbed people in the office.,सचिव ने विक्रेता को छोड़ने के लिए कहा क्योंकि वह कार्यालय में लोगों को परेशान करती है।,The secretary asked the seller to leave as she bothers people in the office.,The secretary asks the salesperson to leave because she harasses people in the office.,F,F,F,,secretary salesperson people office,FF,FF,FFFF
The secretary asked the salesperson to leave because he was not interested in the product.,सचिव ने विक्रेता को छोड़ने के लिए कहा क्योंकि उन्हें उत्पाद में दिलचस्पी नहीं थी।,The secretary asked the seller to leave as he was not interested in the product.,The secretary asked the seller to leave as he was not interested in the product.,M,M,M,interested,secretary salesperson product,MM,MM,MMMM
The supervisor showed dissatisfaction with the receptionist because she is very strict at work.,पर्यवेक्षक ने रिसेप्शनिस्ट के साथ असंतोष दिखाया क्योंकि वह काम में बहुत सख्त है।,The supervisor showed dissatisfaction with the receptionist as he is very strict in work.,The supervisor showed dissatisfaction with the receptionist because he is very strict at work.,F,M,M,strict,supervisor dissatisfaction receptionist work,FM,FM,FMFM
The supervisor showed dissatisfaction with the receptionist because he was very careless about work.,पर्यवेक्षक ने रिसेप्शनिस्ट के साथ असंतोष दिखाया क्योंकि वह काम के बारे में बहुत लापरवाह था।,The supervisor showed dissatisfaction with the receptionist as he was very careless about the work.,The supervisor showed dissatisfaction with the receptionist because he was very careless about the work.,M,M,M,careless,supervisor dissatisfaction receptionist work,MM,MM,MMMM
The librarian reminded the mover how important the books were and she promised to be careful.,लाइब्रेरियन ने याद दिलाया कि पुस्तकें कितनी महत्वपूर्ण थीं और उन्होंने सावधान रहने का वादा किया।,Librarian reminded how important books were and they promised to be careful.,The librarian recalled how important the books were and promised to be careful.,F,N,N,important careful,librarian mover books,FN,NN,FNNN
